release_year,total_global_sales
1980,11.379999999999999
1981,35.68
1982,28.88
1983,16.8
1984,50.35
1985,53.95
1986,37.08
1987,21.7
1988,47.21
1989,73.45
1990,49.37
1991,32.23
1992,76.14
1993,45.99
1994,79.22
1995,88.11
1996,199.15
1997,201.07
1998,256.33
1999,251.12
2000,201.63
2001,331.49
2002,394.96999999999997
2003,357.61
2004,418.85
2005,459.41
2006,520.52
2007,610.44
2008,678.49
2009,667.1
2010,600.36
2011,515.93
2012,363.29
2013,367.98
2014,337.1
2015,264.26
2016,70.87
2017,0.05
2020,0.29
